project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
cocos2d-x,14200,0,0.85,27,0.13,1,0,60,32,1
cocos2d-x,740,1,0.95,3,0,0,1,17,24,0
cocos2d-x,13540,0,0.81,3,0.01,0,0,15,12,1
cocos2d-x,333,0,0,1,0,0,0,2,2,1
cocos2d-x,15744,1,0.99,2,1.58,0,1,64,8,0
cocos2d-x,16264,0,0.64,1,0.05,0,1,0,13,0
cocos2d-x,1582,1,0.64,3,1.12,0,2,1,3,0
cocos2d-x,728,1,0.97,10,0,0,1,16,72,0
cocos2d-x,12875,0,0.81,1,0.98,0,1,11,5,0
cocos2d-x,8043,0,0.64,1,0.02,0,0,1,0,1
cocos2d-x,6632,0,0.89,107,0.99,0,0,1627,1222,1
cocos2d-x,8051,1,0.89,9,0,0,3,72,39,0
cocos2d-x,4054,1,0.97,2,0,0,1,2,4,0
cocos2d-x,3145,0,0.5,1,0.01,0,0,23,1,1
cocos2d-x,11832,1,0.64,6,0.13,0,1,1379,995,0
cocos2d-x,3961,1,0.95,18,0,0,1,58,39,0
cocos2d-x,617,1,0.95,1,2.71,0,1,3,3,0
cocos2d-x,9614,0,0,1,0.01,0,0,8,16,1
cocos2d-x,14467,0,0.2,1,0.18,1,1,1,1,0
cocos2d-x,4858,1,0.97,13,0,0,15,77,41,0
cocos2d-x,3810,1,0.97,2,0,0,4,25,17,0
cocos2d-x,12469,1,0.94,1,0.05,0,1,1,1,0
cocos2d-x,1229,1,0.81,3,0,0,1,83,0,0
cocos2d-x,8759,1,0.93,1,0,0,1,27,32,0
cocos2d-x,8118,0,0.64,1,0.53,0,1,15,12,0
cocos2d-x,16326,0,0.25,1,213.81,0,0,41,8,1
cocos2d-x,6562,0,0,0,359.75,0,0,0,0,0
cocos2d-x,7855,0,0.79,0,110.65,0,0,0,0,0
cocos2d-x,9780,1,0.94,3,1.84,0,1,38,91,0
cocos2d-x,2750,1,0.64,1,0.03,0,1,1,1,0
cocos2d-x,11683,1,0.94,3,0.36,0,2,47,5,0
cocos2d-x,16585,1,0.99,1,4.81,0,1,16,11,0
cocos2d-x,10045,1,0.89,1,0,0,1,6,4,0
cocos2d-x,13764,1,0.81,1,0,0,1,3,2,0
cocos2d-x,16326,0,0.25,1,213.81,0,0,41,8,1
cocos2d-x,3237,0,0.97,429,0.02,0,0,1712,1667,1
cocos2d-x,9261,1,0.64,1,0.01,0,1,4,1,0
cocos2d-x,5549,1,0.92,1,0,0,1,17,14,0
cocos2d-x,10905,0,0.85,7,0.25,2,0,7,102,1
cocos2d-x,6267,0,0.93,5,0.06,0,0,55,47,1
cocos2d-x,10987,1,0.96,1,0.1,0,1,1,1,0
cocos2d-x,3788,1,0.64,1,0,0,1,1,1,0
cocos2d-x,9075,0,0.29,4,4.51,4,0,11,3,1
cocos2d-x,1504,1,0.97,1,0,0,1,1,1,0
cocos2d-x,2489,1,0.95,6,0.03,0,4,92,8,0
cocos2d-x,1127,1,0.81,2,0.02,0,1,2,2,0
cocos2d-x,11967,0,0.56,0,0,0,0,0,0,0
cocos2d-x,14195,1,0.64,2,0.93,0,1,1,9,0
cocos2d-x,3718,0,0.95,43,0,0,1,535,535,0
cocos2d-x,13950,1,0.6,2,215.25,0,2,2,2,0
cocos2d-x,11578,0,0,7,0,0,0,115,39,1
cocos2d-x,6703,0,0.82,5,0.61,0,4,117,0,0
cocos2d-x,14420,0,0.8,4,7.44,4,0,12,9,1
cocos2d-x,6617,0,0.87,1,4.3,0,1,0,0,0
cocos2d-x,15112,1,0.89,2,0.03,0,1,14,19,0
cocos2d-x,11184,1,0.64,1,0.01,0,1,6,0,0
cocos2d-x,4492,1,0.71,0,0.21,0,0,0,0,0
cocos2d-x,9844,0,0.64,1,0.01,0,1,4,4,0
cocos2d-x,7267,1,0.89,30,6.76,0,6,1399,686,0
cocos2d-x,2108,0,0.5,1,0.57,0,0,20,16,1
cocos2d-x,4477,1,0.97,1,0,0,1,1,1,0
cocos2d-x,6275,0,0.75,2,0.02,0,0,20,6,1
cocos2d-x,2432,0,0.67,1,1.45,0,20,1,1,0
cocos2d-x,13493,1,0.85,1,0.29,0,1,5,4,0
