project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
angular.js,69,0,0.33,7,0.07,0,5,232,64,0
angular.js,9378,0,0.26,0,4.91,0,0,0,0,0
angular.js,13927,0,0.02,1,0.01,0,1,8,1,0
angular.js,11648,0,0,1,270.47,1,1,12,11,0
angular.js,4642,0,0,1,1.36,0,1,1,1,0
angular.js,11396,0,0,1,0.31,0,1,1,1,0
angular.js,15750,0,0,1,2.49,1,1,2,2,0
angular.js,12254,0,0.09,3,1.11,0,1,2,53,0
angular.js,3555,0,0,0,36.27,3,0,0,0,0
angular.js,9453,0,0.02,1,0,0,1,2,2,0
angular.js,9591,0,0,0,0.21,0,0,0,0,0
angular.js,4503,0,0,1,8.8,5,2,3,1,0
angular.js,8228,0,0,1,0,0,1,2,2,0
angular.js,12406,0,0,2,77.78,5,0,305,19,1
angular.js,10898,0,0.43,2,1,0,1,15,1,0
angular.js,7335,0,0,0,2.06,0,0,0,0,1
angular.js,15086,0,0,1,3.45,0,1,1,1,0
angular.js,13759,0,0.02,1,1.17,2,1,10,0,0
angular.js,8709,1,0.25,7,5.07,4,3,85,7,0
angular.js,5402,0,0,1,257.87,0,1,6,2,0
angular.js,8624,0,0,0,3.32,3,0,0,0,0
angular.js,9876,0,0,1,8.1,5,1,1,1,0
angular.js,8122,0,0,1,12.51,2,1,13,0,0
angular.js,12091,0,0.01,3,364.47,0,1,58,2,0
angular.js,4571,0,0,1,27.43,4,1,270,1,0
angular.js,4191,0,0,602,176.87,0,0,33483,17066,1
angular.js,4507,0,0,2,964.05,0,1,125,2,0
angular.js,2116,0,0,2,39.91,1,1,12,6,0
angular.js,10602,0,0,1,1.39,0,0,2,2,1
angular.js,4894,0,0,2,1.09,0,0,19,5,1
angular.js,244,0,0.33,6,0.29,0,5,159,31,0
angular.js,9945,0,0,1,5.1,0,4,30,5,0
angular.js,3840,0,0,1,15.92,0,1,4,3,0
angular.js,10284,0,0,2,31.76,3,1,63,2,0
angular.js,2737,0,0,0,54.83,2,0,0,0,1
angular.js,5175,0,0,0,8.07,2,0,0,0,0
angular.js,10432,0,0.26,2,333.45,7,2,44,5,0
angular.js,16035,1,0.26,1,0.63,6,1,5,1,0
angular.js,12167,0,0,1,45.5,0,0,18,2,1
angular.js,6515,0,0,2,560.18,0,1,27,0,0
angular.js,4757,0,0,1,64.08,2,0,6,0,1
