project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
rails,19383,1,0.66,1,0.01,0,1,4,5,0
rails,26438,0,0.71,2,0.04,0,0,7,0,1
rails,11592,0,0,1,0.04,3,0,1,1,1
rails,29492,1,0.86,1,0.36,0,1,0,13,0
rails,22172,1,0.5,3,20.28,0,1,0,0,0
rails,13231,1,0.78,1,0.29,0,1,1,1,0
rails,17208,0,0,0,0.17,9,0,71,0,0
rails,9113,1,0.55,1,0,0,1,0,0,0
rails,7601,1,0.64,2,0.28,0,1,0,18,0
rails,18764,1,0.5,3,7.85,0,1,69,0,0
rails,4617,1,0.19,0,0,0,0,0,0,0
rails,22137,0,0,1,1.24,4,1,0,0,0
rails,17493,1,0.5,0,4.34,0,0,0,0,0
rails,28187,1,0.86,1,0.17,0,1,3,0,0
rails,1704,0,0,0,0.44,0,0,0,0,0
rails,15289,1,0.64,3,0.04,0,1,2,14,0
rails,12743,0,0.57,3,0.49,1,0,86,6,1
rails,23862,1,0.86,1,0.24,0,1,18,0,0
rails,20179,1,0.64,1,0.07,0,1,1,5,0
rails,24805,0,0.74,1,0.05,1,0,8,4,1
rails,27594,0,0.33,1,3.03,0,1,1,1,0
rails,12950,0,0.6,1,0.05,5,1,0,2,0
rails,22716,1,0.33,0,0.08,0,0,1,0,0
rails,27191,0,0.32,3,80.5,7,0,337,0,1
rails,24125,1,0.45,1,0,0,1,0,0,0
rails,17080,1,0.86,1,0,0,1,1,1,0
rails,2068,0,0.79,2,425.66,7,1,50,2,0
rails,4295,0,0.67,1,0.15,0,1,22,4,0
rails,22792,1,0.59,1,0.05,0,1,1,0,0
rails,6344,0,0.71,4,0.01,0,0,16,4,1
rails,20317,0,0.66,6,48.96,6,0,67,35,1
rails,19742,1,0.65,1,0.1,0,1,69,3,0
rails,5112,1,0.17,1,0.01,0,1,2,5,0
rails,26547,1,0.32,8,11.84,0,2,75,24,0
rails,83,0,0.75,2,84.37,0,2,12,297,0
rails,20193,0,0.45,2,27.97,2,1,50,1,0
rails,25628,0,0.29,4,0.41,2,0,0,0,1
rails,1609,1,0.76,3,0,0,1,6,1,0
rails,3484,0,0,1,0.43,1,1,2,1,0
rails,28994,0,0.4,1,0.94,0,0,5,5,1
rails,23242,0,0.59,2,0.1,0,0,6,9,1
rails,16239,1,0.79,1,0.24,0,1,1,1,0
rails,22737,0,0.5,1,0,0,1,1,1,0
rails,26446,1,0.86,1,7,0,1,8,10,0
rails,27653,0,0.5,1,0.97,2,0,1,1,1
rails,10731,0,0,158,0,0,91,104,851,0
rails,18494,0,0.53,6,717.25,0,1,3834,276,0
rails,20511,0,0.5,1,3.55,0,0,41,12,1
rails,2042,1,0.73,1,0.16,0,1,115,7,0
rails,3783,1,0.38,0,0.02,0,0,27,0,0
rails,6914,0,0.75,2,0.03,1,0,11,37,1
rails,25035,1,0.75,1,0.03,0,1,2,2,0
rails,6072,0,0.78,0,0.22,0,0,0,0,1
rails,26448,1,0.86,1,8.07,0,1,0,1,0
rails,13895,0,0,627,0,0,1427,28,19558,0
rails,21181,0,0.33,1,1.22,0,0,19,0,1
rails,11428,1,0.5,1,0.01,0,1,1,2,0
rails,9734,1,0.5,1,0.21,0,1,77,2,0
rails,13758,0,0,0,1.12,0,0,0,0,1
rails,9318,1,0.86,1,0.22,0,1,0,3,0
rails,10234,1,0.67,3,20.61,0,1,0,1,0
rails,18403,1,0.85,5,0.02,0,2,4,2,0
rails,1855,0,0.64,0,4.24,0,0,0,0,0
rails,26155,1,0.86,2,2.41,0,1,25,29,0
rails,4113,0,0.76,1,0.01,1,1,2,1,0
rails,9046,0,0.71,4,0.08,0,0,31,3,1
rails,9111,0,0.5,3,0.13,0,0,11,1,1
rails,4369,1,0.9,1,0.5,0,1,7,2,0
rails,8611,0,0,3,0.48,0,0,89,1,1
rails,15155,1,0.67,7,1.92,0,1,1,23,0
rails,360,0,0.38,2,0.1,0,0,94,15,1
rails,17321,1,0.86,2,0,0,1,1,4,0
rails,18778,0,0,2,260.87,4,1,48,1,0
