project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
symfony,18716,1,0.52,4,6.93,0,1,39,1,0
symfony,10850,1,0.66,0,1.72,5,0,0,0,0
symfony,12960,0,0.88,4,13.85,0,0,22,2,1
symfony,13251,0,0.88,0,1.6,2,0,0,0,1
symfony,10872,0,0.38,1,3.73,0,1,43,10,0
symfony,3411,0,0.69,22,0,0,1,22,22,0
symfony,11499,0,0.88,0,7.69,0,0,0,0,0
symfony,1127,1,0.69,1,4.7,1,1,8,2,0
symfony,22011,1,0.48,2,7.11,0,1,5,0,0
symfony,8634,0,0,6,0.99,0,1,474,36,0
symfony,4872,1,0.36,0,0.07,0,0,0,0,0
symfony,7527,1,0.89,19,32.07,0,21,709,29,0
symfony,16775,0,0.25,0,0,0,0,0,0,1
symfony,15088,0,0.83,2,251.35,0,0,0,0,1
symfony,2476,0,0.88,0,0,0,0,0,0,1
symfony,5772,1,0.64,0,2.06,0,0,0,0,1
symfony,311,0,0.63,0,0.15,0,0,0,0,0
symfony,3106,1,0.67,0,3.28,17,0,0,0,0
symfony,6566,0,0.2,8,102.91,0,0,274,0,1
symfony,14412,0,0.77,1,1.64,0,0,3,2,1
symfony,18666,1,0.87,2,19.8,7,1,20,0,0
symfony,22420,1,0.88,30,0.07,0,2,117,90,0
symfony,12340,0,0,0,2.9,0,0,0,0,0
symfony,7591,1,0.55,2,1.81,0,1,9,0,0
symfony,1818,1,0.62,2,0.02,0,1,48,0,0
symfony,12228,0,0.87,0,0,0,0,0,0,1
symfony,13092,1,0.33,1,0,0,1,5,0,0
symfony,1867,0,0.67,1,3.59,0,1,6,0,0
symfony,19889,0,0.45,12,19.86,5,0,213,80,1
symfony,10591,0,0.5,4,0.04,0,2,98,22,0
symfony,6989,1,0.62,12,61.71,0,1,715,486,0
symfony,7848,0,0,4,0.02,0,2,48,14,0
symfony,13637,1,0.3,1,95.14,0,1,1,0,0
symfony,20314,0,0.88,3,0,0,3,48,16,0
symfony,10515,0,0.25,1,4.86,1,1,5,1,0
symfony,14661,1,0.33,1,0.01,0,1,1,1,0
symfony,5356,1,0.78,4,2.7,0,2,54,54,0
symfony,315,1,0.52,0,0.31,0,0,0,0,0
symfony,19388,1,0.88,2,37.54,0,1,28,9,0
symfony,4510,0,0.77,1,0.67,0,1,2,1,0
symfony,19163,1,0.55,1,0.01,0,1,2,12,0
symfony,12819,0,0,1,0,0,1,1,1,0
symfony,21397,1,0.88,4,0.69,0,1,88,2,0
symfony,21246,0,0,1,0.04,0,1,1,0,0
symfony,21482,1,0.88,1,0.02,0,1,1,1,0
symfony,13390,0,0.77,135,15.17,0,0,2684,709,1
symfony,9826,1,0.39,1,0.75,0,1,4,3,0
symfony,9906,0,0.5,1,0.33,0,1,1,1,0
symfony,3815,1,0.44,0,3.34,1,0,0,0,0
symfony,3423,0,0.33,15,6.98,0,3,237,46,0
symfony,6337,1,0.77,2,26.51,15,1,15,2,0
symfony,18282,1,0.3,1,0.09,0,1,61,9,0
symfony,1111,1,0.65,0,11.17,9,0,0,0,0
symfony,2929,1,0.83,1,0.01,0,0,2,2,1
symfony,11708,0,0.88,1,27.12,11,0,1,3,1
symfony,22666,1,0.88,5,0.06,0,1,2,5,0
symfony,2099,0,0.56,1,0.72,0,2,17,2,0
symfony,2627,0,0.83,0,0,0,0,0,0,0
symfony,6057,0,0.33,3,153.76,13,2,151,2,0
symfony,18385,0,0,3,0.61,0,0,19,6,1
symfony,14765,0,0.63,0,0.26,0,0,0,0,0
symfony,15738,0,0.88,32,15.74,0,0,0,0,1
symfony,11988,0,0.33,2,0.08,5,2,3,3,0
symfony,1980,1,0.63,2,1.08,0,2,3,3,0
symfony,14872,0,0,2,139.09,0,0,83,2,1
symfony,4618,1,0.5,0,0.46,0,0,0,0,0
symfony,14613,1,0.88,1,0.18,0,1,11,2,0
symfony,1415,0,0.83,2,0.01,0,1,13,22,0
symfony,2748,1,0.5,2,1.59,0,1,11,1,0
symfony,12148,0,0.38,54,11.08,10,0,5677,444,1
symfony,12889,0,0.66,1,0.52,0,0,4,4,1
symfony,16087,0,0.88,0,0.54,0,0,0,0,0
symfony,12148,0,0.38,54,11.08,10,0,5677,444,1
symfony,14010,0,0.83,2,1.61,0,1,18,3,0
symfony,16081,0,0.6,6,0.02,0,1,58,0,0
symfony,12846,0,0.55,4,0,3,1,4,4,0
symfony,13317,1,0.68,2,0.01,0,1,20,18,0
symfony,14630,0,0.63,8,6.97,0,1,241,6,0
symfony,4249,0,0.64,15,51.83,0,1,695,42,0
symfony,1438,1,0.79,2,0.11,1,1,35,0,0
symfony,1737,0,0.62,0,0.01,0,0,0,0,0
symfony,21451,0,0.33,7,1.17,0,0,99,8,1
symfony,1849,1,0.5,1,0.98,0,1,1,1,0
symfony,4928,1,0.65,0,3.72,0,0,0,0,0
symfony,17889,0,0.29,2,3.55,0,1,4,2,0
symfony,8091,1,0,0,63.5,10,0,0,0,0
symfony,21832,0,0.52,2,0.28,0,1,65,1,0
symfony,16557,1,0.88,4,3.72,0,1,308,13,0
symfony,2027,1,0.33,1,0.01,4,2,3,3,0
symfony,7955,1,0,1,238.43,9,1,1,1,0
symfony,3127,0,0.63,0,0.15,0,0,0,0,0
symfony,18325,0,0.88,3,0.01,2,0,5,5,1
symfony,17761,0,0.77,0,14.79,3,0,0,0,1
symfony,19096,1,0.68,11,1.05,0,6,21,9,0
symfony,14279,0,0.14,1,0.84,0,1,23,0,0
symfony,8884,0,0.55,1,0.7,0,1,1,1,0
symfony,107,1,0,0,1.19,0,0,0,0,0
symfony,13086,0,0.35,1,7.82,4,0,28,0,1
symfony,7268,1,0.25,14,1.22,0,2,71,79,0
symfony,18110,1,0.14,2,0.04,0,5,30,1,0
symfony,18264,1,0.55,3,232.4,3,2,111,0,0
symfony,8849,1,0.2,1,0.39,0,1,1,1,0
symfony,14203,1,0.27,1023,179.25,0,503,22069,14923,0
symfony,14788,0,0.54,1,0.01,0,0,1,1,1
symfony,1963,0,0.13,0,0.7,0,0,0,0,1
symfony,20688,1,0.54,5,8.91,0,1,31,13,0
symfony,13071,0,0.78,2,34.19,4,3,20,9,0
symfony,20102,1,0.87,2,3.13,0,2,6,5,0
symfony,2279,1,0.5,14,73.13,12,3,351,62,0
symfony,12889,0,0.66,1,0.52,0,0,4,4,1
symfony,7806,1,0.83,0,0.39,0,0,0,0,0
symfony,21846,1,0,2,19.41,0,1,5,5,0
symfony,18268,0,0.83,15,314.71,18,1,472,5,0
symfony,19155,0,0.88,1,0.5,0,1,2,10,0
symfony,14561,1,0.13,9,1.05,0,3,25,1,0
symfony,18654,0,0.83,2,0.03,0,0,57,7,1
symfony,22288,1,0.66,0,92.03,7,0,0,0,0
symfony,8234,0,0.56,0,290.95,3,0,0,0,0
symfony,17053,1,0.88,1,0.02,2,1,1,1,0
symfony,6754,1,0,1,0.02,0,1,1,1,0
symfony,15910,0,0,2,0.92,0,1,2,0,0
symfony,21451,0,0.33,7,1.17,0,0,99,8,1
symfony,12955,0,0.77,1,0.01,1,0,32,141,1
symfony,18783,0,0.78,1,0.93,0,1,3,39,0
symfony,13390,0,0.77,135,15.17,0,0,2684,709,1
symfony,19437,0,0.67,3,1.03,10,0,50,7,1
symfony,13470,1,0.89,6,4.27,0,1,1,5,0
symfony,20335,1,0.46,2,5.27,0,1,13,1,0
