project,pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Nb_Comments,Nb_Commits,LC_added,LC_deleted,classes
zendframework,5535,0,0.33,4,0.91,0,0,92,27,1
zendframework,6062,1,0.39,2,0.35,0,1,4,4,0
zendframework,2361,0,0.58,22,0.25,0,0,558,14,1
zendframework,4000,0,0,0,31.69,4,0,0,0,0
zendframework,6870,0,0.56,2,8.32,1,2,12,1,0
zendframework,836,1,0.75,0,0.14,0,0,0,0,0
zendframework,481,0,0.25,0,0.98,2,0,0,0,1
zendframework,2830,1,0.54,2,7.15,0,1,24,1,0
zendframework,930,1,0.41,5,8.28,0,3,95,71,0
zendframework,5386,0,0.33,14,2.81,0,0,941,397,1
zendframework,4210,0,0.27,0,1.25,0,0,0,0,0
zendframework,4259,0,0.27,0,4.11,0,0,0,0,0
zendframework,4532,0,0.33,0,0.01,3,0,0,0,0
zendframework,4738,0,0.39,11,1.01,0,1,15,15,0
zendframework,1077,1,0.68,5,15.21,0,1,25,17,0
zendframework,786,1,0.7,10,13.19,0,9,262,6,0
zendframework,5438,1,0.39,1,0.1,0,1,2,2,0
zendframework,252,0,0.27,0,5.12,1,0,0,0,0
zendframework,2092,0,0.68,3,0.02,0,0,6,16,1
zendframework,5831,0,0.39,2,0.04,0,2,10,1,0
zendframework,4725,0,0,0,0.85,0,0,0,0,0
zendframework,2353,0,0.71,5,1.06,0,0,0,0,1
zendframework,2154,1,0.34,0,4.2,0,0,0,0,0
zendframework,4049,0,0,0,12.05,0,0,0,0,0
zendframework,689,1,0.67,1,3.42,0,1,2,2,0
zendframework,2361,0,0.58,22,0.25,0,0,558,14,1
zendframework,1275,1,0.68,11,1.9,0,1,36,38,0
zendframework,3248,0,0,1,0.74,0,1,1,1,0
zendframework,6610,1,0.25,2,18.9,0,3,3,4,0
zendframework,6001,0,0.31,15,0.03,0,3,32,29,0
zendframework,5034,0,0.33,0,54.68,2,0,0,0,1
zendframework,2034,1,0.5,2,0.38,0,1,34,1,0
zendframework,4989,0,0,0,0.96,5,0,0,0,1
zendframework,3983,0,0,2,6,0,0,58,20,1
zendframework,1032,1,0.5,0,13.75,0,0,0,0,0
zendframework,1831,1,0.67,1,1.28,0,4,5,4,0
zendframework,288,0,0.27,0,27.79,1,0,0,0,0
zendframework,3250,0,0.21,2,0.22,0,1,28,0,0
zendframework,1563,0,0.42,650,5.95,0,99,6154,4231,0
zendframework,2822,0,0,0,8.1,0,0,0,0,0
zendframework,1475,0,0.75,0,1.65,0,0,0,0,1
zendframework,6842,0,0.21,28,8.36,0,3,144,33,0
zendframework,2264,0,0,0,0.01,0,0,0,0,1
zendframework,2900,0,0.33,0,0.09,1,0,0,0,0
zendframework,3416,0,0.38,101,0.24,6,3,5,130,0
zendframework,7195,0,0,4,3.44,0,2,280,6,0
zendframework,152,0,0,0,8.92,3,0,0,0,0
