fk_rails,pr_id,First_Status,FirstStatus,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes,Label
1,2068,0,Rejected,0.79,2,425.66,7,1,50,2,0,Non-Reopened
1,4295,0,Rejected,0.67,1,0.15,0,1,22,4,0,Non-Reopened
1,22792,1,Accepted,0.59,1,0.05,0,1,1,0,0,Non-Reopened
1,6344,0,Rejected,0.71,4,0.01,0,0,16,4,1,Reopened
1,20317,0,Rejected,0.66,6,48.96,6,0,67,35,1,Reopened
1,19742,1,Accepted,0.65,1,0.1,0,1,69,3,0,Non-Reopened
1,5112,1,Accepted,0.17,1,0.01,0,1,2,5,0,Non-Reopened
1,26547,1,Accepted,0.32,8,11.84,0,2,75,24,0,Non-Reopened
1,83,0,Rejected,0.75,2,84.37,0,2,12,297,0,Non-Reopened
1,20193,0,Rejected,0.45,2,27.97,2,1,50,1,0,Non-Reopened
1,25628,0,Rejected,0.29,4,0.41,2,0,0,0,1,Reopened
1,1609,1,Accepted,0.76,3,0,0,1,6,1,0,Non-Reopened
1,3484,0,Rejected,0,1,0.43,1,1,2,1,0,Non-Reopened
1,28994,0,Rejected,0.4,1,0.94,0,0,5,5,1,Reopened
1,23242,0,Rejected,0.59,2,0.1,0,0,6,9,1,Reopened
1,16239,1,Accepted,0.79,1,0.24,0,1,1,1,0,Non-Reopened
1,22737,0,Rejected,0.5,1,0,0,1,1,1,0,Non-Reopened
1,26446,1,Accepted,0.86,1,7,0,1,8,10,0,Non-Reopened
1,27653,0,Rejected,0.5,1,0.97,2,0,1,1,1,Reopened
1,10731,0,Rejected,0,158,0,0,91,104,851,0,Non-Reopened
1,18494,0,Rejected,0.53,6,717.25,0,1,3834,276,0,Non-Reopened
1,20511,0,Rejected,0.5,1,3.55,0,0,41,12,1,Reopened
1,2042,1,Accepted,0.73,1,0.16,0,1,115,7,0,Non-Reopened
1,3783,1,Accepted,0.38,0,0.02,0,0,27,0,0,Non-Reopened
1,6914,0,Rejected,0.75,2,0.03,1,0,11,37,1,Reopened
1,25035,1,Accepted,0.75,1,0.03,0,1,2,2,0,Non-Reopened
1,6072,0,Rejected,0.78,0,0.22,0,0,0,0,1,Reopened
1,26448,1,Accepted,0.86,1,8.07,0,1,0,1,0,Non-Reopened
1,13895,0,Rejected,0,627,0,0,1427,28,19558,0,Non-Reopened
1,21181,0,Rejected,0.33,1,1.22,0,0,19,0,1,Reopened
1,11428,1,Accepted,0.5,1,0.01,0,1,1,2,0,Non-Reopened
1,9734,1,Accepted,0.5,1,0.21,0,1,77,2,0,Non-Reopened
1,13758,0,Rejected,0,0,1.12,0,0,0,0,1,Reopened
1,9318,1,Accepted,0.86,1,0.22,0,1,0,3,0,Non-Reopened
1,10234,1,Accepted,0.67,3,20.61,0,1,0,1,0,Non-Reopened
1,18403,1,Accepted,0.85,5,0.02,0,2,4,2,0,Non-Reopened
1,1855,0,Rejected,0.64,0,4.24,0,0,0,0,0,Non-Reopened
1,26155,1,Accepted,0.86,2,2.41,0,1,25,29,0,Non-Reopened
1,4113,0,Rejected,0.76,1,0.01,1,1,2,1,0,Non-Reopened
1,9046,0,Rejected,0.71,4,0.08,0,0,31,3,1,Reopened
1,9111,0,Rejected,0.5,3,0.13,0,0,11,1,1,Reopened
1,4369,1,Accepted,0.9,1,0.5,0,1,7,2,0,Non-Reopened
1,8611,0,Rejected,0,3,0.48,0,0,89,1,1,Reopened
1,15155,1,Accepted,0.67,7,1.92,0,1,1,23,0,Non-Reopened
1,360,0,Rejected,0.38,2,0.1,0,0,94,15,1,Reopened
1,17321,1,Accepted,0.86,2,0,0,1,1,4,0,Non-Reopened
1,18778,0,Rejected,0,2,260.87,4,1,48,1,0,Non-Reopened
1,28341,0,Rejected,0.8,3,1.49,0,0,6,4,1,Reopened
1,18621,1,Accepted,0.77,1,0.03,0,1,31,1,0,Non-Reopened
1,22612,1,Accepted,0.75,1,0.01,0,1,5,1,0,Non-Reopened
1,8395,1,Accepted,0.5,1,6.73,0,1,2,23,0,Non-Reopened
1,4983,0,Rejected,0.5,0,409.93,9,0,13,0,0,Non-Reopened
1,15145,1,Accepted,0.86,0,0.09,0,0,0,0,0,Non-Reopened
1,28403,0,Rejected,0.33,647,0,0,737,14645,8803,0,Non-Reopened
1,21894,0,Rejected,0.81,1,0.07,2,0,6,10,1,Reopened
1,22939,1,Accepted,0.93,3,0.02,0,1,19,1,0,Non-Reopened
1,7028,1,Accepted,0.75,7,7.4,0,1,13,16,0,Non-Reopened
1,5900,1,Accepted,0.79,2,0.01,0,1,7,1,0,Non-Reopened
1,11107,1,Accepted,0.5,3,27.95,0,1,2,2,0,Non-Reopened
1,22929,0,Rejected,0.67,11,0.04,0,1,0,24,0,Non-Reopened
1,4320,1,Accepted,0.76,1,0.04,0,1,6,29,0,Non-Reopened
1,27100,0,Rejected,0,4,4.92,4,2,7,3,0,Non-Reopened
1,7790,0,Rejected,0.52,1,0,0,1,22,5,0,Non-Reopened
1,23377,1,Accepted,0.66,4,13.09,0,1,25,17,0,Non-Reopened
1,22330,0,Rejected,0.6,8,0.07,2,0,65,65,1,Reopened
1,17736,0,Rejected,0,2,0.01,1,2,120,24,0,Non-Reopened
1,19586,0,Rejected,0.66,2,1.16,0,0,18,1,1,Reopened
1,13388,0,Rejected,0,1,0,3,0,3,0,1,Reopened
1,3320,0,Rejected,0.67,1,0.21,1,0,6,6,1,Reopened
1,14334,1,Accepted,0.33,1,0.08,0,1,0,4,0,Non-Reopened
1,7964,1,Accepted,0.61,7,1.45,0,1,0,136,0,Non-Reopened
1,11641,1,Accepted,0.58,0,0.03,0,0,0,0,0,Non-Reopened
1,3564,1,Accepted,0.86,1,0.07,0,1,12,3,0,Non-Reopened
1,7558,0,Rejected,0.43,0,0.13,0,0,1,0,0,Non-Reopened
1,18355,1,Accepted,0.79,0,0.02,0,0,13,0,0,Non-Reopened
1,14973,1,Accepted,0.6,1,0.16,0,1,29,1,0,Non-Reopened
1,1323,0,Rejected,0.33,2,0.46,0,0,11,1,1,Reopened
1,23199,0,Rejected,0.69,1,0.01,2,1,16,42,0,Non-Reopened
1,32,0,Rejected,0.76,0,0,0,0,80,0,0,Non-Reopened
1,21167,0,Rejected,0.5,2,0.77,0,0,2,2,1,Reopened
1,17777,0,Rejected,0,1,0.56,9,0,0,0,1,Reopened
1,29205,0,Rejected,0,4,0.01,0,0,19,6,1,Reopened
1,25914,0,Rejected,0.57,4,0,2,0,81,0,1,Reopened
1,16763,1,Accepted,0.71,0,0.19,0,0,0,0,0,Non-Reopened
1,12317,1,Accepted,0.87,4,0.23,0,1,16,1,0,Non-Reopened
1,21669,1,Accepted,0.72,1,0.73,0,1,122,2,0,Non-Reopened
1,26166,1,Accepted,0.86,1,0.03,0,1,4,4,0,Non-Reopened
1,10351,1,Accepted,0.47,2,0.4,0,2,8,5,0,Non-Reopened
1,20384,0,Rejected,0.77,4,48.95,11,0,82,17,1,Reopened
1,18670,1,Accepted,0.77,2,0.13,0,1,10,2,0,Non-Reopened
1,17149,0,Rejected,0,3,160.82,2,1,0,0,0,Non-Reopened
1,23732,1,Accepted,0.64,3,0.04,0,1,15,2,0,Non-Reopened
1,15513,1,Accepted,0.64,3,0.73,0,1,0,91,0,Non-Reopened
