pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
13317,1,0.68,2,0.01,0,1,20,18,0
14630,0,0.63,8,6.97,0,1,241,6,0
4249,0,0.64,15,51.83,0,1,695,42,0
1438,1,0.79,2,0.11,1,1,35,0,0
1737,0,0.62,0,0.01,0,0,0,0,0
21451,0,0.33,7,1.17,0,0,99,8,1
1849,1,0.5,1,0.98,0,1,1,1,0
4928,1,0.65,0,3.72,0,0,0,0,0
17889,0,0.29,2,3.55,0,1,4,2,0
8091,1,0,0,63.5,10,0,0,0,0
21832,0,0.52,2,0.28,0,1,65,1,0
16557,1,0.88,4,3.72,0,1,308,13,0
2027,1,0.33,1,0.01,4,2,3,3,0
7955,1,0,1,238.43,9,1,1,1,0
3127,0,0.63,0,0.15,0,0,0,0,0
18325,0,0.88,3,0.01,2,0,5,5,1
17761,0,0.77,0,14.79,3,0,0,0,1
19096,1,0.68,11,1.05,0,6,21,9,0
14279,0,0.14,1,0.84,0,1,23,0,0
8884,0,0.55,1,0.7,0,1,1,1,0
107,1,0,0,1.19,0,0,0,0,0
13086,0,0.35,1,7.82,4,0,28,0,1
7268,1,0.25,14,1.22,0,2,71,79,0
18110,1,0.14,2,0.04,0,5,30,1,0
18264,1,0.55,3,232.4,3,2,111,0,0
8849,1,0.2,1,0.39,0,1,1,1,0
14203,1,0.27,1023,179.25,0,503,22069,14923,0
14788,0,0.54,1,0.01,0,0,1,1,1
1963,0,0.13,0,0.7,0,0,0,0,1
20688,1,0.54,5,8.91,0,1,31,13,0
13071,0,0.78,2,34.19,4,3,20,9,0
20102,1,0.87,2,3.13,0,2,6,5,0
2279,1,0.5,14,73.13,12,3,351,62,0
12889,0,0.66,1,0.52,0,0,4,4,1
7806,1,0.83,0,0.39,0,0,0,0,0
21846,1,0,2,19.41,0,1,5,5,0
18268,0,0.83,15,314.71,18,1,472,5,0
19155,0,0.88,1,0.5,0,1,2,10,0
14561,1,0.13,9,1.05,0,3,25,1,0
18654,0,0.83,2,0.03,0,0,57,7,1
22288,1,0.66,0,92.03,7,0,0,0,0
8234,0,0.56,0,290.95,3,0,0,0,0
17053,1,0.88,1,0.02,2,1,1,1,0
6754,1,0,1,0.02,0,1,1,1,0
15910,0,0,2,0.92,0,1,2,0,0
21451,0,0.33,7,1.17,0,0,99,8,1
12955,0,0.77,1,0.01,1,0,32,141,1
18783,0,0.78,1,0.93,0,1,3,39,0
13390,0,0.77,135,15.17,0,0,2684,709,1
19437,0,0.67,3,1.03,10,0,50,7,1
13470,1,0.89,6,4.27,0,1,1,5,0
20335,1,0.46,2,5.27,0,1,13,1,0
6064,0,0.67,7,0.02,0,1,69,70,0
19917,1,0,6,0.09,0,1,97,277,0
18271,0,0.83,1,4,0,1,3,3,0
1752,0,0.73,0,0,1,0,0,0,0
16177,0,0.69,2,10.89,0,2,10,9,0
19343,0,0,1,2.07,0,3,2,2,0
13876,1,0.42,1,145.03,2,3,6,2,0
22541,1,0.14,2,0.01,0,1,32,5,0
12175,0,0.78,2,6.7,0,0,17,1,1
687,0,0.79,0,0.23,0,0,0,0,0
9333,1,0.17,2,0.15,0,1,52,2,0
6326,0,0.69,0,2.05,0,0,0,0,0
23124,0,0.87,1,0.11,0,1,1,3,0
23101,1,0.58,1,4.47,0,1,2,2,0
18460,1,0,2,0.88,0,1,10,1,0
21535,1,0.48,1,0.59,3,1,1,1,0
20827,1,0.24,1,0.86,0,1,2,6,0
1322,0,0.79,1,0.02,0,1,13,13,0
8352,0,0,3,14.01,0,2,15,2,0
9247,1,0.17,2,7.71,0,3,18,14,0
5650,1,0.77,5,0.08,1,0,91,1,1
7312,0,0.66,4,42.53,3,2,32,4,0
21744,1,0.77,1,0.27,0,8,61,52,0
8887,0,0,0,0.56,0,0,0,0,0
9675,0,0.78,0,0.46,0,0,0,0,0
16869,0,0.37,0,1.08,0,0,0,0,1
22012,1,0.48,2,4.87,0,2,22,27,0
9431,0,0.78,2,0.32,0,1,5,0,0
13608,0,0.17,1,4.24,1,0,0,0,1
12191,1,0,1,1.04,0,2,2,2,0
17467,1,0.21,8,0.02,0,1,55,42,0
17022,0,0.77,4,19.15,0,0,89,1,1
8693,0,0.67,2,0.06,0,1,42,2,0
554,1,0.88,1,0.01,1,0,1,3,1
20189,1,0.25,4,114.55,0,1,10,3,0
7706,1,0.44,45,1.46,9,0,178,212,1
12427,0,0.9,1,1.86,0,1,2,0,0
6423,0,0.88,0,1.13,0,0,0,0,1
1727,0,0.69,1,0.13,0,1,1,1,0
10179,0,0.87,2,367.79,0,0,26,0,1
11615,0,0.87,2,10.97,0,1,24,0,0
1784,0,0.56,0,44.48,0,0,0,0,0
2711,1,0.6,0,0.03,1,0,0,0,0
20321,1,0.44,0,0.28,0,0,0,0,0
11185,0,0.87,0,0.06,7,0,0,0,1
10117,1,0.63,1,0,0,1,1,1,0
15144,0,0.88,1,0.11,0,1,3,4,0
18315,1,0.55,2,0,0,2,49,2,0
13239,1,0.38,8,2.18,0,1,20,19,0
938,1,0.56,2,27.61,0,1,92,16,0
23153,1,0.87,1,1.52,6,1,2,2,0
9586,0,0.83,0,35.06,3,0,0,0,0
12404,0,0,5,12.88,0,1,39,125,0
1956,1,0.88,0,1.13,2,0,0,0,1
6423,0,0.88,0,1.13,0,0,0,0,1
