pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
8395,1,0.5,1,6.73,0,1,2,23,0
4983,0,0.5,0,409.93,9,0,13,0,0
15145,1,0.86,0,0.09,0,0,0,0,0
28403,0,0.33,647,0,0,737,14645,8803,0
21894,0,0.81,1,0.07,2,0,6,10,1
22939,1,0.93,3,0.02,0,1,19,1,0
7028,1,0.75,7,7.4,0,1,13,16,0
5900,1,0.79,2,0.01,0,1,7,1,0
11107,1,0.5,3,27.95,0,1,2,2,0
22929,0,0.67,11,0.04,0,1,0,24,0
4320,1,0.76,1,0.04,0,1,6,29,0
27100,0,0,4,4.92,4,2,7,3,0
7790,0,0.52,1,0,0,1,22,5,0
23377,1,0.66,4,13.09,0,1,25,17,0
22330,0,0.6,8,0.07,2,0,65,65,1
17736,0,0,2,0.01,1,2,120,24,0
19586,0,0.66,2,1.16,0,0,18,1,1
13388,0,0,1,0,3,0,3,0,1
3320,0,0.67,1,0.21,1,0,6,6,1
14334,1,0.33,1,0.08,0,1,0,4,0
7964,1,0.61,7,1.45,0,1,0,136,0
11641,1,0.58,0,0.03,0,0,0,0,0
3564,1,0.86,1,0.07,0,1,12,3,0
7558,0,0.43,0,0.13,0,0,1,0,0
18355,1,0.79,0,0.02,0,0,13,0,0
14973,1,0.6,1,0.16,0,1,29,1,0
1323,0,0.33,2,0.46,0,0,11,1,1
23199,0,0.69,1,0.01,2,1,16,42,0
32,0,0.76,0,0,0,0,80,0,0
21167,0,0.5,2,0.77,0,0,2,2,1
17777,0,0,1,0.56,9,0,0,0,1
29205,0,0,4,0.01,0,0,19,6,1
25914,0,0.57,4,0,2,0,81,0,1
16763,1,0.71,0,0.19,0,0,0,0,0
12317,1,0.87,4,0.23,0,1,16,1,0
21669,1,0.72,1,0.73,0,1,122,2,0
26166,1,0.86,1,0.03,0,1,4,4,0
10351,1,0.47,2,0.4,0,2,8,5,0
20384,0,0.77,4,48.95,11,0,82,17,1
18670,1,0.77,2,0.13,0,1,10,2,0
17149,0,0,3,160.82,2,1,0,0,0
23732,1,0.64,3,0.04,0,1,15,2,0
15513,1,0.64,3,0.73,0,1,0,91,0
25958,1,0.86,1,0.68,0,1,38,0,0
14157,0,0,2,500.3,0,0,29,3,1
27395,1,0.93,5,0.18,0,1,8,8,0
20511,0,0.5,1,3.55,0,0,41,12,1
22485,0,0.79,2,18.44,0,1,3,2,0
15174,0,0.44,2,0.44,1,1,18,1,0
11404,0,0.58,0,0.12,0,0,0,0,0
13388,0,0,1,0,3,0,3,0,1
13600,0,0.33,4,0.63,3,2,3,3,0
25726,1,0.61,2,0.05,0,1,5,5,0
9042,1,0.87,3,41.14,0,1,50,1,0
21687,1,0.86,3,0.6,0,1,2,27,0
10453,1,0.78,1,2.12,0,1,27,1,0
1309,0,0.29,0,0,0,0,0,0,1
25241,1,0.5,2,31.82,0,1,12,2,0
17112,0,0,2,3.16,3,0,15,10,1
20346,1,0.79,4,0.07,0,1,2,59,0
23001,0,0,0,0,1,0,61,0,0
24837,0,0.59,4,0.03,0,0,9,5,1
15427,1,0.84,13,0.09,0,1,17,44,0
4093,1,0.86,1,0.02,0,1,2,0,0
23484,1,0.84,1,0,0,1,4,7,0
8097,1,0.86,2,0.01,0,1,17,1,0
10379,1,0.84,0,0,0,0,28,0,0
9111,0,0.5,3,0.13,0,0,11,1,1
21341,1,0.74,1,0.24,0,1,1,5,0
12019,0,0.74,0,0.01,1,0,0,0,0
18569,1,0.84,1,0.1,0,1,0,1,0
26833,1,0.73,1,0,0,1,1,1,0
25596,1,0.86,1,0.06,0,1,102,42,0
23861,1,0.25,0,0,0,0,4,0,0
2055,0,0.33,0,0.16,1,0,29,0,0
23527,0,0.86,2,5.05,2,1,0,44,0
6150,1,0.71,0,17.87,0,0,89,0,0
8124,0,0.33,2,7.83,6,1,34,2,0
11575,0,0.64,2,0.05,0,1,24,0,0
4106,0,0.66,0,0.17,0,0,53,0,0
25929,1,0.86,3,3.27,0,1,5,7,0
9490,0,0.52,1,0.23,1,1,0,5,0
22829,1,0.67,3,0.67,0,1,24,1,0
6938,1,0.52,1,4.28,0,1,7,2,0
25668,0,0.86,2,0.02,2,0,4,4,1
25759,1,0.86,2,0.47,0,1,12,8,0
13707,1,0.5,1,0.05,0,1,42,2,0
29191,1,0.49,2,6.58,0,1,6,6,0
14394,0,0.4,1,0.07,2,1,28,1,0
7168,0,0,0,0.01,3,0,0,0,1
26874,1,0.83,2,31.79,0,1,21,5,0
14840,0,0.79,1,0.03,1,0,2,2,1
7724,1,0.6,1,0.05,0,1,0,1,0
17678,1,0.5,5,4.86,0,1,9,12,0
11133,1,0.81,1,0.27,0,1,1,18,0
9020,0,0,4,0.02,0,0,62,2,1
14528,1,0.5,1,0.83,0,1,0,0,0
5161,1,0.86,1,0.07,0,1,4,1,0
14017,0,0,2,0.03,2,0,18,0,1
11044,0,0.52,3,182.05,13,1,7,2,0
25371,1,0.86,1,0.07,0,1,0,12,0
27383,1,0.5,0,1.24,0,0,0,0,0
19442,0,0.36,1,0.67,1,0,3,1,1
15151,1,0.84,14,0.26,0,1,7,57,0
5998,1,0.5,0,0,0,0,1,0,0
15283,1,0.5,1,0.08,0,1,5,2,0
2156,1,0.87,1,0.05,0,1,8,0,0
16914,1,0.56,0,2.5,0,0,1,0,0
20018,1,0.76,10,53.35,0,2,68,13,0
23396,1,0.33,1,0.68,0,1,29,0,0
16011,1,0.67,2,2.95,0,1,24,3,0
24089,0,0.65,3,0.02,5,1,43,4,0
17616,0,0,1,11.52,12,2,2,1,0
17406,0,0,1,0.25,3,1,24,2,0
1630,0,0,2,0.02,1,3,285,7,0
2008,0,0.66,0,385,0,0,7,0,0
6655,0,0,1,0.58,0,1,0,2,0
1469,0,0.67,0,0.12,0,0,0,0,1
15740,0,0.25,0,0.01,1,0,51,0,0
19575,1,0.93,0,0.25,0,0,152,0,0
4687,1,0.9,1,0.02,0,1,6,2,0
8255,0,0.79,1,0,0,1,1,1,0
24730,1,0.78,2,0.19,0,1,4,4,0
10412,1,0.78,1,0.36,0,1,3,1,0
20384,0,0.77,4,48.95,11,0,82,17,1
23793,1,0.5,0,0.21,0,0,7,0,0
2931,1,0.67,0,0.01,0,0,0,0,0
21887,1,0.81,2,0.02,0,1,0,2,0
20955,0,0.65,1,0,1,1,13,12,0
6072,0,0.78,0,0.22,0,0,0,0,1
17069,1,0.5,0,147.14,0,0,0,0,0
26004,1,0.93,1,1.28,0,1,0,8,0
26688,0,0.86,2,0.87,2,0,9,18,1
1104,0,0.5,1,0.03,2,0,1,1,1
13469,1,0.68,6,0.04,0,1,1,2,0
26238,1,0.86,2,231.41,0,1,21,29,0
19015,1,0.33,1,0,0,1,5,2,0
29461,1,0.5,2,1.57,0,1,26,1,0
18639,0,0,1,0.44,1,0,8,0,1
11986,1,0.25,1,4.02,0,1,4,0,0
15512,1,0.79,3,0.48,0,1,0,54,0
21780,1,0.74,1,1.55,0,1,17,19,0
7552,1,0.79,3,0.63,0,4,9,13,0
11006,0,0,0,0.54,2,0,9,0,0
