pr_id,First_Status,Reputation,Changed_file,Evaluation_time,Num_Comments_before_Closed,Num_commits_before_Closed,Num_lines_added,Num_lines_deleted,classes
4830,1,0.67,0,0.87,0,0,0,0,0
3344,0,0.5,0,0.19,2,0,0,0,1
5920,0,0,1,1.48,1,1,4,1,0
2777,0,0,0,0.19,0,0,0,0,0
7301,0,0.21,3,2.45,1,3,68,0,0
7123,0,0,0,279.91,3,0,0,0,0
1143,1,0.75,0,2.52,0,0,0,0,0
2325,0,0.58,2,4.37,0,0,27,8,1
7361,1,0.43,1,43.06,0,1,2,0,0
203,0,0,0,0.33,0,0,0,0,0
5278,0,0.75,0,0.01,0,0,0,0,1
1150,1,0.68,43,0.99,0,1,87,103,0
7237,0,0.43,1,0,0,0,4,3,1
269,0,0.04,0,33.95,2,0,0,0,1
727,1,0.55,73,0.14,0,1,3772,716,0
1255,1,0.7,1,0.01,0,2,2,1,0
1949,0,0.71,0,2.68,0,0,0,0,0
5110,0,0,5,2.78,0,2,54,3,0
2157,0,0,1,3.23,0,1,25,3,0
4932,0,0,0,0.06,0,0,0,0,0
3474,1,0.39,1,1.68,0,1,2,2,0
876,1,0.41,1,2.75,0,1,3,3,0
5451,0,0.07,0,0.2,1,0,0,0,1
3693,0,0.33,8,35.21,0,0,193,52,1
2,0,0,0,2.83,0,0,0,0,0
1884,0,0.57,4,0.08,0,0,203,7,1
3097,1,0.39,1,0.63,0,1,0,2,0
534,0,0.56,1,1.52,1,1,1,1,0
5957,0,0.75,0,32.74,0,0,0,0,0
3029,0,0.55,1,0.08,0,1,1,1,0
3371,0,0.2,0,13.94,7,0,0,0,0
3414,1,0.73,0,0,0,0,0,0,0
1058,1,0.5,0,5.93,0,0,0,0,0
2327,1,0.41,1,3.17,0,2,1,1,0
5783,1,0.83,4,0.74,0,2,26,1,0
647,1,0.37,28,3.93,0,6,1669,379,0
5718,0,0.33,0,11.07,0,0,0,0,1
774,1,0.5,2,4.02,0,1,31,4,0
2264,0,0,0,0.01,0,0,0,0,1
1544,0,0.42,637,0.28,0,0,5416,4231,1
3936,0,0.34,0,9.04,0,0,0,0,0
2637,1,0.56,0,0.01,0,0,0,0,0
1342,1,0.64,4,6.91,0,6,89,5,0
3904,0,0,1,12.85,0,1,1,1,0
310,0,0.27,0,24.07,1,0,0,0,0
1417,1,0.75,0,0.07,0,0,0,0,0
7348,0,0.43,0,3.75,1,0,0,0,0
5401,0,0.39,3,3.42,0,2,7,7,0
3987,0,0.14,1,5.02,0,3,1,1,0
